path,basename,validation,font_name,font_family,font_full_name,font_postscript_name
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/b7cb5af102eef622e55e701862272b80e89d2d5f.asset/AssetData/BMHannaAir-Regular.otf,BMHannaAir-Regular.otf,Valid,BM HANNA Air OTF,BM HANNA Air OTF,BM HANNA Air OTF,BMHANNAAirOTF
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/3d0af21c67c597a49a25214ff4c70179baf6f3ca.asset/AssetData/BMHannaPro-Regular.otf,BMHannaPro-Regular.otf,Valid,BM HANNA Pro OTF,BM HANNA Pro OTF,BM HANNA Pro OTF,BMHANNAProOTF
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/b37171b0cb7d2044e39dd8001c23a0e540f91207.asset/AssetData/BMJua-Regular.otf,BMJua-Regular.otf,Valid,BM JUA OTF,BM JUA OTF,BM JUA OTF,BMJUAOTF
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/7a694995bfafc612fac18a23b283bdf239ef4f2c.asset/AssetData/BMKirangHaerang-Regular.otf,BMKirangHaerang-Regular.otf,Valid,BM KIRANGHAERANG OTF,BM KIRANGHAERANG OTF,BM KIRANGHAERANG OTF,BMKIRANGHAERANG-OTF
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/a7a90316a83e0693b3d971d89b235ee578c59f0c.asset/AssetData/BMYeongSung-Regular.otf,BMYeongSung-Regular.otf,Valid,BM YEONSUNG OTF,BM YEONSUNG OTF,BM YEONSUNG OTF,BMYEONSUNG-OTF
/System/Library/Fonts/Supplemental/Baghdad.ttc,Baghdad.ttc,Valid,Baghdad Regular,Baghdad,Baghdad Regular,Baghdad
/System/Library/Fonts/Supplemental/Bangla MN.ttc,Bangla MN.ttc,Valid,Bangla MN,Bangla MN,Bangla MN,BanglaMN
/System/Library/Fonts/Supplemental/Bangla Sangam MN.ttc,Bangla Sangam MN.ttc,Valid,Bangla Sangam MN,Bangla Sangam MN,Bangla Sangam MN,BanglaSangamMN
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/70875a1270987c17cfd6f40cd3d755ec04d03b33.asset/AssetData/Baoli.ttc,Baoli.ttc,Valid,Baoli SC Regular,Baoli SC,Baoli SC Regular,STBaoliSC-Regular
/System/Library/Fonts/Supplemental/Baskerville.ttc,Baskerville.ttc,Valid,Baskerville,Baskerville,Baskerville,Baskerville
/System/Library/Fonts/Supplemental/Beirut.ttc,Beirut.ttc,Valid,Beirut Regular,Beirut,Beirut Regular,Beirut
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/5f4c23e4a0c7b70597730d79e252955e973ead7d.asset/AssetData/BiauKai.ttc,BiauKai.ttc,Valid,BiauKaiHK Regular,BiauKaiHK Regular,BiauKaiHK Regular,BiauKaiHK-Regular
/System/Library/Fonts/Supplemental/BigCaslon.ttf,BigCaslon.ttf,Valid,Big Caslon Medium,Big Caslon,Big Caslon Medium,BigCaslon-Medium
/System/Library/Fonts/Supplemental/Bodoni 72.ttc,Bodoni 72.ttc,Valid,Bodoni 72 Book,Bodoni 72,Bodoni 72 Book,BodoniSvtyTwoITCTT-Book
/System/Library/Fonts/Supplemental/Bodoni 72 OS.ttc,Bodoni 72 OS.ttc,Valid,Bodoni 72 Oldstyle Book,Bodoni 72 Oldstyle,Bodoni 72 Oldstyle Book,BodoniSvtyTwoOSITCTT-Book
/System/Library/Fonts/Supplemental/Bodoni 72 Smallcaps Book.ttf,Bodoni 72 Smallcaps Book.ttf,Valid,Bodoni 72 Smallcaps Book,Bodoni 72 Smallcaps,Bodoni 72 Smallcaps Book,BodoniSvtyTwoSCITCTT-Book
/System/Library/Fonts/Supplemental/Bodoni Ornaments.ttf,Bodoni Ornaments.ttf,Valid,Bodoni Ornaments,Bodoni Ornaments,Bodoni Ornaments,BodoniOrnamentsITCTT
/System/Library/Fonts/Supplemental/Bradley Hand Bold.ttf,Bradley Hand Bold.ttf,Valid,Bradley Hand Bold,Bradley Hand,Bradley Hand Bold,BradleyHandITCTT-Bold
/System/Library/Fonts/Supplemental/Brush Script.ttf,Brush Script.ttf,Valid,Brush Script MT Italic,Brush Script MT,Brush Script MT Italic,BrushScriptMT
/System/Library/Fonts/Supplemental/Chalkboard.ttc,Chalkboard.ttc,Valid,Chalkboard,Chalkboard,Chalkboard,Chalkboard
/System/Library/Fonts/Supplemental/ChalkboardSE.ttc,ChalkboardSE.ttc,Valid,Chalkboard SE Light,Chalkboard SE,Chalkboard SE Light,ChalkboardSE-Light
/System/Library/Fonts/Supplemental/Chalkduster.ttf,Chalkduster.ttf,Valid,Chalkduster,Chalkduster,Chalkduster,Chalkduster
/System/Library/Fonts/Supplemental/Charter.ttc,Charter.ttc,Valid,Charter Roman,Charter,Charter Roman,Charter-Roman
/System/Library/Fonts/Supplemental/Cochin.ttc,Cochin.ttc,Valid,Cochin,Cochin,Cochin,Cochin
/Users/xiangyucheng/Library/Fonts/Comfortaa-Bold.ttf,Comfortaa-Bold.ttf,Valid,Comfortaa Bold,Comfortaa,Comfortaa Bold,Comfortaa-Bold
/System/Library/Fonts/Supplemental/Comic Sans MS.ttf,Comic Sans MS.ttf,Valid,Comic Sans MS,Comic Sans MS,Comic Sans MS,ComicSansMS
/System/Library/Fonts/Supplemental/Comic Sans MS Bold.ttf,Comic Sans MS Bold.ttf,Valid,Comic Sans MS Bold,Comic Sans MS,Comic Sans MS Bold,ComicSansMS-Bold
/System/Library/Fonts/Supplemental/Copperplate.ttc,Copperplate.ttc,Valid,Copperplate,Copperplate,Copperplate,Copperplate
/Users/xiangyucheng/Library/Fonts/logotypejp_mp_b.ttf,logotypejp_mp_b.ttf,Valid,Corporate Logo Bold,Corporate Logo Bold,Corporate Logo Bold,Corporate-Logo-Bold
/Users/xiangyucheng/Library/Fonts/Corporate-Logo-Mar-2.ttf,Corporate-Logo-Mar-2.ttf,Valid,Corporate Logo Maru,Corporate Logo Maru,Corporate Logo Maru,Corporate-Logo-Maru
/System/Library/Fonts/Supplemental/Corsiva.ttc,Corsiva.ttc,Valid,Corsiva Hebrew,Corsiva Hebrew,Corsiva Hebrew,CorsivaHebrew
/System/Library/Fonts/Courier.ttc,Courier.ttc,Valid,Courier,Courier,Courier,Courier
/System/Library/Fonts/Supplemental/Courier New.ttf,Courier New.ttf,Valid,Courier New,Courier New,Courier New,CourierNewPSMT
/System/Library/Fonts/Supplemental/Courier New Bold.ttf,Courier New Bold.ttf,Valid,Courier New Bold,Courier New,Courier New Bold,CourierNewPS-BoldMT
/System/Library/Fonts/Supplemental/Courier New Bold Italic.ttf,Courier New Bold Italic.ttf,Valid,Courier New Bold Italic,Courier New,Courier New Bold Italic,CourierNewPS-BoldItalicMT
/System/Library/Fonts/Supplemental/Courier New Italic.ttf,Courier New Italic.ttf,Valid,Courier New Italic,Courier New,Courier New Italic,CourierNewPS-ItalicMT
/System/Library/Fonts/Supplemental/DIN Alternate Bold.ttf,DIN Alternate Bold.ttf,Valid,DIN Alternate Bold,DIN Alternate,DIN Alternate Bold,DINAlternate-Bold
/System/Library/Fonts/Supplemental/DIN Condensed Bold.ttf,DIN Condensed Bold.ttf,Valid,DIN Condensed Bold,DIN Condensed,DIN Condensed Bold,DINCondensed-Bold
/System/Library/Fonts/Supplemental/Damascus.ttc,Damascus.ttc,Valid,Damascus Regular,Damascus,Damascus Regular,Damascus
/System/Library/Fonts/Supplemental/DecoTypeNaskh.ttc,DecoTypeNaskh.ttc,Valid,DecoType Naskh Regular,DecoType Naskh,DecoType Naskh Regular,DecoTypeNaskh
/System/Library/Fonts/Supplemental/DevanagariMT.ttc,DevanagariMT.ttc,Valid,Devanagari MT,Devanagari MT,Devanagari MT,DevanagariMT
