path,basename,font_family,font_full_name,font_postscript_name
/Users/xiangyucheng/Library/Fonts/SourceHanSansCN-Normal.otf,SourceHanSansCN-Normal.otf,Source Han Sans CN Normal,Source Han Sans CN Normal,SourceHanSansCN-Normal
/Users/xiangyucheng/Library/Fonts/SourceHanSansCN-Regular.otf,SourceHanSansCN-Regular.otf,Source Han Sans CN Regular,Source Han Sans CN Regular,SourceHanSansCN-Regular
/Users/xiangyucheng/Library/Fonts/SourceHanSansHWSC-Bold.otf,SourceHanSansHWSC-Bold.otf,Source Han Sans HW SC Bold,Source Han Sans HW SC Bold,SourceHanSansHWSC-Bold
/Users/xiangyucheng/Library/Fonts/SourceHanSansSC-Heavy-2.otf,SourceHanSansSC-Heavy-2.otf,Source Han Sans SC Heavy,Source Han Sans SC Heavy,SourceHanSansSC-Heavy
/System/Library/Fonts/Supplemental/SukhumvitSet.ttc,SukhumvitSet.ttc,Sukhumvit Set,SukhumvitSet-Thin,SukhumvitSet-Thin
/System/Library/Fonts/Supplemental/SuperClarendon.ttc,SuperClarendon.ttc,Superclarendon,Superclarendon Regular,Superclarendon-Regular
/System/Library/Fonts/Symbol.ttf,Symbol.ttf,Symbol,Symbol,Symbol
/System/Library/Fonts/Supplemental/Tahoma.ttf,Tahoma.ttf,Tahoma,Tahoma,Tahoma
/System/Library/Fonts/Supplemental/Tahoma Bold.ttf,Tahoma Bold.ttf,Tahoma,Tahoma Bold,Tahoma-Bold
/Users/xiangyucheng/Library/Fonts/Tamanegi_Geki.ttf,Tamanegi_Geki.ttf,Tamanegi_Geki,Tamanegi_Geki,Tamanegi_Geki
/System/Library/Fonts/Supplemental/Tamil MN.ttc,Tamil MN.ttc,Tamil MN,Tamil MN,TamilMN
/System/Library/Fonts/Supplemental/Tamil Sangam MN.ttc,Tamil Sangam MN.ttc,Tamil Sangam MN,Tamil Sangam MN,TamilSangamMN
/Users/xiangyucheng/Library/Fonts/texgyretermes-math.otf,texgyretermes-math.otf,TeX Gyre Termes Math,TeXGyreTermesMath-Regular,TeXGyreTermesMath-Regular
/System/Library/Fonts/Supplemental/Telugu MN.ttc,Telugu MN.ttc,Telugu MN,Telugu MN,TeluguMN
/System/Library/Fonts/Supplemental/Telugu Sangam MN.ttc,Telugu Sangam MN.ttc,Telugu Sangam MN,Telugu Sangam MN,TeluguSangamMN
/System/Library/Fonts/Supplemental/Thonburi.ttc,Thonburi.ttc,Thonburi,Thonburi,Thonburi
/System/Library/Fonts/Times.ttc,Times.ttc,Times,Times Roman,Times-Roman
/System/Library/Fonts/Supplemental/Times New Roman Bold Italic.ttf,Times New Roman Bold Italic.ttf,Times New Roman,Times New Roman Bold Italic,TimesNewRomanPS-BoldItalicMT
/System/Library/Fonts/Supplemental/Times New Roman.ttf,Times New Roman.ttf,Times New Roman,Times New Roman,TimesNewRomanPSMT
/System/Library/Fonts/Supplemental/Times New Roman Bold.ttf,Times New Roman Bold.ttf,Times New Roman,Times New Roman Bold,TimesNewRomanPS-BoldMT
/System/Library/Fonts/Supplemental/Times New Roman Italic.ttf,Times New Roman Italic.ttf,Times New Roman,Times New Roman Italic,TimesNewRomanPS-ItalicMT
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/7a4aca403fc9a901dcfe5e71131b423d71231eec.asset/AssetData/ToppanBunkyuGothicPr6N.ttc,ToppanBunkyuGothicPr6N.ttc,Toppan Bunkyu Gothic Regular,Toppan Bunkyu Gothic Demibold,ToppanBunkyuGothicPr6N-DB
