path,basename,font_family,font_full_name,font_postscript_name
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/6372627020b45393e500bb1661c460d4a93aff49.asset/AssetData/LiSongPro.ttf,LiSongPro.ttf,LiSong Pro,LiSong Pro,LiSongPro
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/a304e3396d019087ab67af77f5e398977529007d.asset/AssetData/Libian.ttc,Libian.ttc,Libian SC,Libian SC Regular,STLibianSC-Regular
/Users/xiangyucheng/Library/Fonts/9dd85b0905ed60da332151f89da9e03f.otf,9dd85b0905ed60da332151f89da9e03f.otf,LightNovelPopV2 V2,LightNovelPopV2 V2,LightNovelPopV2-V2
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/78f88149335340bffebcfade41e6a326a865625c.asset/AssetData/LingWaiSC-Medium.otf,LingWaiSC-Medium.otf,LingWai SC,LingWai SC Medium,MLingWaiMedium-SC
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/bde53ad6e1bb82eb008445d7ed26d067e4c89497.asset/AssetData/LingWaiTC-Medium.otf,LingWaiTC-Medium.otf,LingWai TC,LingWai TC Medium,MLingWaiMedium-TC
/System/Library/Fonts/LucidaGrande.ttc,LucidaGrande.ttc,Lucida Grande,Lucida Grande,LucidaGrande
/System/Library/Fonts/Supplemental/Luminari.ttf,Luminari.ttf,Luminari,Luminari,Luminari-Regular
/Users/xiangyucheng/Library/Fonts/M XiangHe Hei SC Std XBlack.otf,M XiangHe Hei SC Std XBlack.otf,M XiangHe Hei SC Std XBlack,M XiangHe Hei SC Std XBlack,MXiangHeHeiSCStd-XBlack
/Users/xiangyucheng/Library/Fonts/Makinas-4-Square.otf,Makinas-4-Square.otf,Makinas-4 Square,Makinas-4-Square,Makinas-4-Square
/Users/xiangyucheng/Library/Fonts/Makinas-4-Flat.otf,Makinas-4-Flat.otf,Makinas-4-Flat,Makinas-4-Flat,Makinas-4-Flat
/System/Library/Fonts/Supplemental/Malayalam MN.ttc,Malayalam MN.ttc,Malayalam MN,Malayalam MN,MalayalamMN
/System/Library/Fonts/Supplemental/Malayalam Sangam MN.ttc,Malayalam Sangam MN.ttc,Malayalam Sangam MN,Malayalam Sangam MN,MalayalamSangamMN
/System/Library/Fonts/Supplemental/Marion.ttc,Marion.ttc,Marion,Marion Regular,Marion-Regular
/System/Library/Fonts/MarkerFelt.ttc,MarkerFelt.ttc,Marker Felt,Marker Felt Thin,MarkerFelt-Thin
/Users/xiangyucheng/Library/Fonts/Matisse-EB-TT.ttf,Matisse-EB-TT.ttf,Matisse-EB-TT,Matisse-EB-TT,Matisse-EB-TT
/Users/xiangyucheng/Library/Fonts/Mbf-Regular.ttf,Mbf-Regular.ttf,Mbf,Mbf Regular,Mbf-Regular
/System/Library/Fonts/Menlo.ttc,Menlo.ttc,Menlo,Menlo Regular,Menlo-Regular
/System/Library/Fonts/Supplemental/Microsoft Sans Serif.ttf,Microsoft Sans Serif.ttf,Microsoft Sans Serif,Microsoft Sans Serif,MicrosoftSansSerif
/Users/xiangyucheng/Library/Fonts/Ming Imperial.TTF,Ming Imperial.TTF,Ming Imperial,Ming Imperial,Ming Imperial
/System/Library/Fonts/Supplemental/Mishafi.ttf,Mishafi.ttf,Mishafi,Mishafi Regular,DiwanMishafi
/System/Library/Fonts/Supplemental/Mishafi Gold.ttf,Mishafi Gold.ttf,Mishafi Gold,Mishafi Gold Regular,DiwanMishafiGold
/Users/xiangyucheng/Library/Fonts/MochiyPopPOne-Regular.ttf,MochiyPopPOne-Regular.ttf,Mochiy Pop P One,Mochiy Pop P One Regular,MochiyPopPOne-Regular
/System/Library/Fonts/Monaco.ttf,Monaco.ttf,Monaco,Monaco,Monaco
/System/Library/Fonts/Supplemental/Mshtakan.ttc,Mshtakan.ttc,Mshtakan,Mshtakan,Mshtakan
/System/Library/Fonts/MuktaMahee.ttc,MuktaMahee.ttc,MuktaMahee Regular,MuktaMahee Regular,MuktaMahee-Regular
/System/Library/Fonts/Supplemental/Muna.ttc,Muna.ttc,Muna,Muna Regular,Muna
/System/Library/Fonts/Supplemental/Myanmar MN.ttc,Myanmar MN.ttc,Myanmar MN,Myanmar MN,MyanmarMN
/System/Library/Fonts/Supplemental/Myanmar Sangam MN.ttc,Myanmar Sangam MN.ttc,Myanmar Sangam MN,Myanmar Sangam MN,MyanmarSangamMN
/System/Library/Fonts/Supplemental/Nadeem.ttc,Nadeem.ttc,Nadeem,Nadeem Regular,Nadeem
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/1fb44cf128344a11e654a43ccd7a45a68026bf5d.asset/AssetData/NanumScript.ttc,NanumScript.ttc,Nanum Brush Script,Nanum Brush Script,NanumBrush
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/7a0b5c0f3c1d41c4c52a33343496c9c65ad52c50.asset/AssetData/NanumGothic.ttc,NanumGothic.ttc,NanumGothic,NanumGothic,NanumGothic
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/4c932c71d74fc9e4c1bd9cbf270374b0b3ee7519.asset/AssetData/NanumMyeongjo.ttc,NanumMyeongjo.ttc,NanumMyeongjo,NanumMyeongjo,NanumMyeongjo
/System/Library/Fonts/Supplemental/NewPeninimMT.ttc,NewPeninimMT.ttc,New Peninim MT,New Peninim MT,NewPeninimMT
/System/Library/Fonts/Noteworthy.ttc,Noteworthy.ttc,Noteworthy,Noteworthy Light,Noteworthy-Light
/System/Library/Fonts/NotoNastaliq.ttc,NotoNastaliq.ttc,Noto Nastaliq Urdu,Noto Nastaliq Urdu,NotoNastaliqUrdu
/System/Library/Fonts/Supplemental/NotoSansAdlam-Regular.ttf,NotoSansAdlam-Regular.ttf,Noto Sans Adlam,Noto Sans Adlam Regular,NotoSansAdlam-Regular
/System/Library/Fonts/NotoSansArmenian.ttc,NotoSansArmenian.ttc,Noto Sans Armenian Blk,Noto Sans Armenian Black,NotoSansArmenian-Black
/System/Library/Fonts/Supplemental/NotoSansAvestan-Regular.ttf,NotoSansAvestan-Regular.ttf,Noto Sans Avestan,Noto Sans Avestan Regular,NotoSansAvestan-Regular
/System/Library/Fonts/Supplemental/NotoSansBamum-Regular.ttf,NotoSansBamum-Regular.ttf,Noto Sans Bamum,Noto Sans Bamum Regular,NotoSansBamum-Regular
/System/Library/Fonts/Supplemental/NotoSansBassaVah-Regular.ttf,NotoSansBassaVah-Regular.ttf,Noto Sans Bassa Vah,Noto Sans Bassa Vah Regular,NotoSansBassaVah-Regular
/System/Library/Fonts/Supplemental/NotoSansBatak-Regular.ttf,NotoSansBatak-Regular.ttf,Noto Sans Batak,Noto Sans Batak Regular,NotoSansBatak-Regular
/System/Library/Fonts/Supplemental/NotoSansBhaiksuki-Regular.ttf,NotoSansBhaiksuki-Regular.ttf,Noto Sans Bhaiksuki,Noto Sans Bhaiksuki Regular,NotoSansBhaiksuki-Regular
/System/Library/Fonts/Supplemental/NotoSansBrahmi-Regular.ttf,NotoSansBrahmi-Regular.ttf,Noto Sans Brahmi,Noto Sans Brahmi Regular,NotoSansBrahmi-Regular
/System/Library/Fonts/Supplemental/NotoSansBuginese-Regular.ttf,NotoSansBuginese-Regular.ttf,Noto Sans Buginese,Noto Sans Buginese Regular,NotoSansBuginese-Regular
/System/Library/Fonts/Supplemental/NotoSansBuhid-Regular.ttf,NotoSansBuhid-Regular.ttf,Noto Sans Buhid,Noto Sans Buhid Regular,NotoSansBuhid-Regular
/System/Library/Fonts/Supplemental/NotoSansCanadianAboriginal-Regular.otf,NotoSansCanadianAboriginal-Regular.otf,Noto Sans CanAborig,Noto Sans Canadian Aboriginal Regular,NotoSansCanadianAboriginal-Regular
/System/Library/Fonts/Supplemental/NotoSansCarian-Regular.ttf,NotoSansCarian-Regular.ttf,Noto Sans Carian,Noto Sans Carian Regular,NotoSansCarian-Regular
/System/Library/Fonts/Supplemental/NotoSansCaucasianAlbanian-Regular.ttf,NotoSansCaucasianAlbanian-Regular.ttf,Noto Sans CaucAlban,Noto Sans Caucasian Albanian Regular,NotoSansCaucasianAlbanian-Regular
/System/Library/Fonts/Supplemental/NotoSansChakma-Regular.ttf,NotoSansChakma-Regular.ttf,Noto Sans Chakma,Noto Sans Chakma Regular,NotoSansChakma-Regular
/System/Library/Fonts/Supplemental/NotoSansCham-Regular.ttf,NotoSansCham-Regular.ttf,Noto Sans Cham,Noto Sans Cham Regular,NotoSansCham-Regular
/System/Library/Fonts/Supplemental/NotoSansCoptic-Regular.ttf,NotoSansCoptic-Regular.ttf,Noto Sans Coptic,Noto Sans Coptic Regular,NotoSansCoptic-Regular
/System/Library/Fonts/Supplemental/NotoSansCuneiform-Regular.ttf,NotoSansCuneiform-Regular.ttf,Noto Sans Cuneiform,Noto Sans Cuneiform Regular,NotoSansCuneiform-Regular
/System/Library/Fonts/Supplemental/NotoSansCypriot-Regular.ttf,NotoSansCypriot-Regular.ttf,Noto Sans Cypriot,Noto Sans Cypriot Regular,NotoSansCypriot-Regular
/System/Library/Fonts/Supplemental/NotoSansDuployan-Regular.ttf,NotoSansDuployan-Regular.ttf,Noto Sans Duployan,Noto Sans Duployan Regular,NotoSansDuployan-Regular
/System/Library/Fonts/Supplemental/NotoSansEgyptianHieroglyphs-Regular.ttf,NotoSansEgyptianHieroglyphs-Regular.ttf,Noto Sans EgyptHiero,Noto Sans Egyptian Hieroglyphs Regular,NotoSansEgyptianHieroglyphs-Regular
/System/Library/Fonts/Supplemental/NotoSansElbasan-Regular.ttf,NotoSansElbasan-Regular.ttf,Noto Sans Elbasan,Noto Sans Elbasan Regular,NotoSansElbasan-Regular
/System/Library/Fonts/Supplemental/NotoSansGlagolitic-Regular.ttf,NotoSansGlagolitic-Regular.ttf,Noto Sans Glagolitic,Noto Sans Glagolitic Regular,NotoSansGlagolitic-Regular
/System/Library/Fonts/Supplemental/NotoSansGothic-Regular.ttf,NotoSansGothic-Regular.ttf,Noto Sans Gothic,Noto Sans Gothic Regular,NotoSansGothic-Regular
/System/Library/Fonts/Supplemental/NotoSansGunjalaGondi-Regular.otf,NotoSansGunjalaGondi-Regular.otf,Noto Sans Gunjala Gondi,Noto Sans Gunjala Gondi Regular,NotoSansGunjalaGondi-Regular
/System/Library/Fonts/Supplemental/NotoSansHanifiRohingya-Regular.ttf,NotoSansHanifiRohingya-Regular.ttf,Noto Sans HanifiRohg,Noto Sans Hanifi Rohingya Regular,NotoSansHanifiRohingya-Regular
/System/Library/Fonts/Supplemental/NotoSansHanunoo-Regular.ttf,NotoSansHanunoo-Regular.ttf,Noto Sans Hanunoo,Noto Sans Hanunoo Regular,NotoSansHanunoo-Regular
/System/Library/Fonts/Supplemental/NotoSansHatran-Regular.ttf,NotoSansHatran-Regular.ttf,Noto Sans Hatran,Noto Sans Hatran Regular,NotoSansHatran-Regular
/System/Library/Fonts/Supplemental/NotoSansImperialAramaic-Regular.ttf,NotoSansImperialAramaic-Regular.ttf,Noto Sans ImpAramaic,Noto Sans Imperial Aramaic Regular,NotoSansImperialAramaic-Regular
/System/Library/Fonts/Supplemental/NotoSansInscriptionalPahlavi-Regular.ttf,NotoSansInscriptionalPahlavi-Regular.ttf,Noto Sans InsPahlavi,Noto Sans Inscriptional Pahlavi Regular,NotoSansInscriptionalPahlavi-Regular
/System/Library/Fonts/Supplemental/NotoSansInscriptionalParthian-Regular.ttf,NotoSansInscriptionalParthian-Regular.ttf,Noto Sans InsParthi,Noto Sans Inscriptional Parthian Regular,NotoSansInscriptionalParthian-Regular
/System/Library/Fonts/Supplemental/NotoSansJavanese-Regular.otf,NotoSansJavanese-Regular.otf,Noto Sans Javanese,Noto Sans Javanese Regular,NotoSansJavanese-Regular
/System/Library/Fonts/Supplemental/NotoSansKaithi-Regular.ttf,NotoSansKaithi-Regular.ttf,Noto Sans Kaithi,Noto Sans Kaithi Regular,NotoSansKaithi-Regular
/System/Library/Fonts/NotoSansKannada.ttc,NotoSansKannada.ttc,Noto Sans Kannada Thin,Noto Sans Kannada Thin,NotoSansKannada-Thin
/System/Library/Fonts/Supplemental/NotoSansKayahLi-Regular.ttf,NotoSansKayahLi-Regular.ttf,Noto Sans Kayah Li,Noto Sans Kayah Li Regular,NotoSansKayahLi-Regular
/System/Library/Fonts/Supplemental/NotoSansKharoshthi-Regular.ttf,NotoSansKharoshthi-Regular.ttf,Noto Sans Kharoshthi,Noto Sans Kharoshthi Regular,NotoSansKharoshthi-Regular
/System/Library/Fonts/Supplemental/NotoSansKhojki-Regular.ttf,NotoSansKhojki-Regular.ttf,Noto Sans Khojki,Noto Sans Khojki Regular,NotoSansKhojki-Regular
/System/Library/Fonts/Supplemental/NotoSansKhudawadi-Regular.ttf,NotoSansKhudawadi-Regular.ttf,Noto Sans Khudawadi,Noto Sans Khudawadi Regular,NotoSansKhudawadi-Regular
/System/Library/Fonts/Supplemental/NotoSansLepcha-Regular.ttf,NotoSansLepcha-Regular.ttf,Noto Sans Lepcha,Noto Sans Lepcha Regular,NotoSansLepcha-Regular
/System/Library/Fonts/Supplemental/NotoSansLimbu-Regular.ttf,NotoSansLimbu-Regular.ttf,Noto Sans Limbu,Noto Sans Limbu Regular,NotoSansLimbu-Regular
/System/Library/Fonts/Supplemental/NotoSansLinearA-Regular.ttf,NotoSansLinearA-Regular.ttf,Noto Sans Linear A,Noto Sans Linear A Regular,NotoSansLinearA-Regular
/System/Library/Fonts/Supplemental/NotoSansLinearB-Regular.ttf,NotoSansLinearB-Regular.ttf,Noto Sans Linear B,Noto Sans Linear B Regular,NotoSansLinearB-Regular
/System/Library/Fonts/Supplemental/NotoSansLisu-Regular.ttf,NotoSansLisu-Regular.ttf,Noto Sans Lisu,Noto Sans Lisu Regular,NotoSansLisu-Regular
/System/Library/Fonts/Supplemental/NotoSansLycian-Regular.ttf,NotoSansLycian-Regular.ttf,Noto Sans Lycian,Noto Sans Lycian Regular,NotoSansLycian-Regular
/System/Library/Fonts/Supplemental/NotoSansLydian-Regular.ttf,NotoSansLydian-Regular.ttf,Noto Sans Lydian,Noto Sans Lydian Regular,NotoSansLydian-Regular
/System/Library/Fonts/Supplemental/NotoSansMahajani-Regular.ttf,NotoSansMahajani-Regular.ttf,Noto Sans Mahajani,Noto Sans Mahajani Regular,NotoSansMahajani-Regular
/System/Library/Fonts/Supplemental/NotoSansMandaic-Regular.ttf,NotoSansMandaic-Regular.ttf,Noto Sans Mandaic,Noto Sans Mandaic Regular,NotoSansMandaic-Regular
/System/Library/Fonts/Supplemental/NotoSansManichaean-Regular.ttf,NotoSansManichaean-Regular.ttf,Noto Sans Manichaean,Noto Sans Manichaean Regular,NotoSansManichaean-Regular
/System/Library/Fonts/Supplemental/NotoSansMarchen-Regular.ttf,NotoSansMarchen-Regular.ttf,Noto Sans Marchen,Noto Sans Marchen Regular,NotoSansMarchen-Regular
/System/Library/Fonts/Supplemental/NotoSansMasaramGondi-Regular.otf,NotoSansMasaramGondi-Regular.otf,Noto Sans Masaram Gondi,Noto Sans Masaram Gondi Regular,NotoSansMasaramGondi-Regular
/System/Library/Fonts/Supplemental/NotoSansMeeteiMayek-Regular.ttf,NotoSansMeeteiMayek-Regular.ttf,Noto Sans MeeteiMayek,Noto Sans Meetei Mayek Regular,NotoSansMeeteiMayek-Regular
/System/Library/Fonts/Supplemental/NotoSansMendeKikakui-Regular.ttf,NotoSansMendeKikakui-Regular.ttf,Noto Sans Mende Kikakui,Noto Sans Mende Kikakui Regular,NotoSansMendeKikakui-Regular
/System/Library/Fonts/Supplemental/NotoSansMeroitic-Regular.ttf,NotoSansMeroitic-Regular.ttf,Noto Sans Meroitic,Noto Sans Meroitic Regular,NotoSansMeroitic-Regular
/System/Library/Fonts/Supplemental/NotoSansMiao-Regular.ttf,NotoSansMiao-Regular.ttf,Noto Sans Miao,Noto Sans Miao Regular,NotoSansMiao-Regular
/System/Library/Fonts/Supplemental/NotoSansModi-Regular.ttf,NotoSansModi-Regular.ttf,Noto Sans Modi,Noto Sans Modi Regular,NotoSansModi-Regular
/System/Library/Fonts/Supplemental/NotoSansMongolian-Regular.ttf,NotoSansMongolian-Regular.ttf,Noto Sans Mongolian,Noto Sans Mongolian Regular,NotoSansMongolian-Regular
/System/Library/Fonts/Supplemental/NotoSansMro-Regular.ttf,NotoSansMro-Regular.ttf,Noto Sans Mro,Noto Sans Mro Regular,NotoSansMro-Regular
/System/Library/Fonts/Supplemental/NotoSansMultani-Regular.ttf,NotoSansMultani-Regular.ttf,Noto Sans Multani,Noto Sans Multani Regular,NotoSansMultani-Regular
/System/Library/Fonts/NotoSansMyanmar.ttc,NotoSansMyanmar.ttc,Noto Sans Myanmar Blk,Noto Sans Myanmar Black,NotoSansMyanmar-Black
/System/Library/Fonts/Supplemental/NotoSansNKo-Regular.ttf,NotoSansNKo-Regular.ttf,Noto Sans NKo,Noto Sans NKo Regular,NotoSansNKo-Regular
/System/Library/Fonts/Supplemental/NotoSansNabataean-Regular.ttf,NotoSansNabataean-Regular.ttf,Noto Sans Nabataean,Noto Sans Nabataean Regular,NotoSansNabataean-Regular
/System/Library/Fonts/Supplemental/NotoSansNagMundari-Regular.ttf,NotoSansNagMundari-Regular.ttf,Noto Sans Nag Mundari,Noto Sans Nag Mundari Regular,NotoSansNagMundari-Regular
/System/Library/Fonts/Supplemental/NotoSansNewTaiLue-Regular.ttf,NotoSansNewTaiLue-Regular.ttf,Noto Sans NewTaiLue,Noto Sans New Tai Lue Regular,NotoSansNewTaiLue-Regular
/System/Library/Fonts/Supplemental/NotoSansNewa-Regular.ttf,NotoSansNewa-Regular.ttf,Noto Sans Newa,Noto Sans Newa Regular,NotoSansNewa-Regular
/System/Library/Fonts/Supplemental/NotoSansOlChiki-Regular.ttf,NotoSansOlChiki-Regular.ttf,Noto Sans Ol Chiki,Noto Sans Ol Chiki Regular,NotoSansOlChiki-Regular
/System/Library/Fonts/Supplemental/NotoSansOldItalic-Regular.ttf,NotoSansOldItalic-Regular.ttf,Noto Sans Old Italic,Noto Sans Old Italic Regular,NotoSansOldItalic-Regular
/System/Library/Fonts/Supplemental/NotoSansOldPermic-Regular.ttf,NotoSansOldPermic-Regular.ttf,Noto Sans Old Permic,Noto Sans Old Permic Regular,NotoSansOldPermic-Regular
/System/Library/Fonts/Supplemental/NotoSansOldTurkic-Regular.ttf,NotoSansOldTurkic-Regular.ttf,Noto Sans Old Turkic,Noto Sans Old Turkic Regular,NotoSansOldTurkic-Regular
/System/Library/Fonts/Supplemental/NotoSansOldHungarian-Regular.ttf,NotoSansOldHungarian-Regular.ttf,Noto Sans OldHung,Noto Sans Old Hungarian Regular,NotoSansOldHungarian-Regular
/System/Library/Fonts/Supplemental/NotoSansOldNorthArabian-Regular.ttf,NotoSansOldNorthArabian-Regular.ttf,Noto Sans OldNorArab,Noto Sans Old North Arabian Regular,NotoSansOldNorthArabian-Regular
/System/Library/Fonts/Supplemental/NotoSansOldPersian-Regular.ttf,NotoSansOldPersian-Regular.ttf,Noto Sans OldPersian,Noto Sans Old Persian Regular,NotoSansOldPersian-Regular
/System/Library/Fonts/Supplemental/NotoSansOldSouthArabian-Regular.ttf,NotoSansOldSouthArabian-Regular.ttf,Noto Sans OldSouArab,Noto Sans Old South Arabian Regular,NotoSansOldSouthArabian-Regular
/System/Library/Fonts/NotoSansOriya.ttc,NotoSansOriya.ttc,Noto Sans Oriya,Noto Sans Oriya,NotoSansOriya
/System/Library/Fonts/Supplemental/NotoSansOsage-Regular.ttf,NotoSansOsage-Regular.ttf,Noto Sans Osage,Noto Sans Osage Regular,NotoSansOsage-Regular
/System/Library/Fonts/Supplemental/NotoSansOsmanya-Regular.ttf,NotoSansOsmanya-Regular.ttf,Noto Sans Osmanya,Noto Sans Osmanya Regular,NotoSansOsmanya-Regular
/System/Library/Fonts/Supplemental/NotoSansPahawhHmong-Regular.ttf,NotoSansPahawhHmong-Regular.ttf,Noto Sans Pahawh Hmong,Noto Sans Pahawh Hmong Regular,NotoSansPahawhHmong-Regular
/System/Library/Fonts/Supplemental/NotoSansPalmyrene-Regular.ttf,NotoSansPalmyrene-Regular.ttf,Noto Sans Palmyrene,Noto Sans Palmyrene Regular,NotoSansPalmyrene-Regular
/System/Library/Fonts/Supplemental/NotoSansPauCinHau-Regular.ttf,NotoSansPauCinHau-Regular.ttf,Noto Sans PauCinHau,Noto Sans Pau Cin Hau Regular,NotoSansPauCinHau-Regular
/System/Library/Fonts/Supplemental/NotoSansPhagsPa-Regular.ttf,NotoSansPhagsPa-Regular.ttf,Noto Sans PhagsPa,Noto Sans PhagsPa Regular,NotoSansPhagsPa-Regular
/System/Library/Fonts/Supplemental/NotoSansPhoenician-Regular.ttf,NotoSansPhoenician-Regular.ttf,Noto Sans Phoenician,Noto Sans Phoenician Regular,NotoSansPhoenician-Regular
/System/Library/Fonts/Supplemental/NotoSansPsalterPahlavi-Regular.ttf,NotoSansPsalterPahlavi-Regular.ttf,Noto Sans PsaPahlavi,Noto Sans Psalter Pahlavi Regular,NotoSansPsalterPahlavi-Regular
/System/Library/Fonts/Supplemental/NotoSansRejang-Regular.ttf,NotoSansRejang-Regular.ttf,Noto Sans Rejang,Noto Sans Rejang Regular,NotoSansRejang-Regular
/System/Library/Fonts/Supplemental/NotoSansSamaritan-Regular.ttf,NotoSansSamaritan-Regular.ttf,Noto Sans Samaritan,Noto Sans Samaritan Regular,NotoSansSamaritan-Regular
/System/Library/Fonts/Supplemental/NotoSansSaurashtra-Regular.ttf,NotoSansSaurashtra-Regular.ttf,Noto Sans Saurashtra,Noto Sans Saurashtra Regular,NotoSansSaurashtra-Regular
/System/Library/Fonts/Supplemental/NotoSansSharada-Regular.ttf,NotoSansSharada-Regular.ttf,Noto Sans Sharada,Noto Sans Sharada Regular,NotoSansSharada-Regular
/System/Library/Fonts/Supplemental/NotoSansSiddham-Regular.otf,NotoSansSiddham-Regular.otf,Noto Sans Siddham,Noto Sans Siddham Regular,NotoSansSiddham-Regular
/System/Library/Fonts/Supplemental/NotoSansSoraSompeng-Regular.ttf,NotoSansSoraSompeng-Regular.ttf,Noto Sans SoraSomp,Noto Sans Sora Sompeng Regular,NotoSansSoraSompeng-Regular
/System/Library/Fonts/Supplemental/NotoSansSundanese-Regular.ttf,NotoSansSundanese-Regular.ttf,Noto Sans Sundanese,Noto Sans Sundanese Regular,NotoSansSundanese-Regular
/System/Library/Fonts/Supplemental/NotoSansSylotiNagri-Regular.ttf,NotoSansSylotiNagri-Regular.ttf,Noto Sans Syloti Nagri,Noto Sans Syloti Nagri Regular,NotoSansSylotiNagri-Regular
/System/Library/Fonts/Supplemental/NotoSansSyriac-Regular.ttf,NotoSansSyriac-Regular.ttf,Noto Sans Syriac,Noto Sans Syriac Regular,NotoSansSyriac-Regular
/System/Library/Fonts/Supplemental/NotoSansTagalog-Regular.ttf,NotoSansTagalog-Regular.ttf,Noto Sans Tagalog,Noto Sans Tagalog Regular,NotoSansTagalog-Regular
/System/Library/Fonts/Supplemental/NotoSansTagbanwa-Regular.ttf,NotoSansTagbanwa-Regular.ttf,Noto Sans Tagbanwa,Noto Sans Tagbanwa Regular,NotoSansTagbanwa-Regular
/System/Library/Fonts/Supplemental/NotoSansTaiLe-Regular.ttf,NotoSansTaiLe-Regular.ttf,Noto Sans Tai Le,Noto Sans Tai Le Regular,NotoSansTaiLe-Regular
/System/Library/Fonts/Supplemental/NotoSansTaiTham-Regular.ttf,NotoSansTaiTham-Regular.ttf,Noto Sans Tai Tham,Noto Sans Tai Tham,NotoSansTaiTham
/System/Library/Fonts/Supplemental/NotoSansTaiViet-Regular.ttf,NotoSansTaiViet-Regular.ttf,Noto Sans Tai Viet,Noto Sans Tai Viet Regular,NotoSansTaiViet-Regular
/System/Library/Fonts/Supplemental/NotoSansTakri-Regular.ttf,NotoSansTakri-Regular.ttf,Noto Sans Takri,Noto Sans Takri Regular,NotoSansTakri-Regular
/System/Library/Fonts/Supplemental/NotoSansThaana-Regular.ttf,NotoSansThaana-Regular.ttf,Noto Sans Thaana,Noto Sans Thaana Regular,NotoSansThaana-Regular
/System/Library/Fonts/Supplemental/NotoSansTifinagh-Regular.otf,NotoSansTifinagh-Regular.otf,Noto Sans Tifinagh,Noto Sans Tifinagh Regular,NotoSansTifinagh-Regular
/System/Library/Fonts/Supplemental/NotoSansTirhuta-Regular.ttf,NotoSansTirhuta-Regular.ttf,Noto Sans Tirhuta,Noto Sans Tirhuta Regular,NotoSansTirhuta-Regular
/System/Library/Fonts/Supplemental/NotoSansUgaritic-Regular.ttf,NotoSansUgaritic-Regular.ttf,Noto Sans Ugaritic,Noto Sans Ugaritic Regular,NotoSansUgaritic-Regular
/System/Library/Fonts/Supplemental/NotoSansVai-Regular.ttf,NotoSansVai-Regular.ttf,Noto Sans Vai,Noto Sans Vai Regular,NotoSansVai-Regular
/System/Library/Fonts/Supplemental/NotoSansWancho-Regular.ttf,NotoSansWancho-Regular.ttf,Noto Sans Wancho,Noto Sans Wancho Regular,NotoSansWancho-Regular
/System/Library/Fonts/Supplemental/NotoSansWarangCiti-Regular.ttf,NotoSansWarangCiti-Regular.ttf,Noto Sans WarangCiti,Noto Sans Warang Citi Regular,NotoSansWarangCiti-Regular
/System/Library/Fonts/Supplemental/NotoSansYi-Regular.ttf,NotoSansYi-Regular.ttf,Noto Sans Yi,Noto Sans Yi Regular,NotoSansYi-Regular
/System/Library/Fonts/Supplemental/NotoSerifAhom-Regular.ttf,NotoSerifAhom-Regular.ttf,Noto Serif Ahom,Noto Serif Ahom Regular,NotoSerifAhom-Regular
/System/Library/Fonts/Supplemental/NotoSerifBalinese-Regular.ttf,NotoSerifBalinese-Regular.ttf,Noto Serif Balinese,Noto Serif Balinese Regular,NotoSerifBalinese-Regular
/System/Library/Fonts/Supplemental/NotoSerifNyiakengPuachueHmong-Regular.ttf,NotoSerifNyiakengPuachueHmong-Regular.ttf,Noto Serif Hmong Nyiakeng,Noto Serif Hmong Nyiakeng Regular,NotoSerifHmongNyiakeng-Regular
/Users/xiangyucheng/Library/Fonts/NotoSerifJP-VariableFont_wght.ttf,NotoSerifJP-VariableFont_wght.ttf,Noto Serif JP ExtraLight,Noto Serif JP ExtraLight,NotoSerifJP-ExtraLight
/System/Library/Fonts/NotoSerifMyanmar.ttc,NotoSerifMyanmar.ttc,Noto Serif Myanmar Blk,Noto Serif Myanmar Black,NotoSerifMyanmar-Black
/System/Library/Fonts/Supplemental/NotoSerifYezidi-Regular.otf,NotoSerifYezidi-Regular.otf,Noto Serif Yezidi,Noto Serif Yezidi Regular,NotoSerifYezidi-Regular
/System/Library/Fonts/Optima.ttc,Optima.ttc,Optima,Optima Regular,Optima-Regular
/System/Library/Fonts/Supplemental/Oriya MN.ttc,Oriya MN.ttc,Oriya MN,Oriya MN,OriyaMN
/System/Library/Fonts/Supplemental/Oriya Sangam MN.ttc,Oriya Sangam MN.ttc,Oriya Sangam MN,Oriya Sangam MN,OriyaSangamMN
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/37b7a41df590ab4ef2d6826c6ec7c69f0fd7379f.asset/AssetData/OsakaMono.ttf,OsakaMono.ttf,Osaka,Osaka-Mono,Osaka-Mono
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/0b5bb0a7f7e82279e049e3c943133f4b186ff8a2.asset/AssetData/Osaka.ttf,Osaka.ttf,Osaka,Osaka,Osaka
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/833e6cdde7e9b6be27aeb4bb26a2d25f93a6b1f7.asset/AssetData/PCmyoungjo.ttf,PCmyoungjo.ttf,PCMyungjo,PCMyungjo Regular,JCsmPC
/System/Library/Fonts/Supplemental/PTMono.ttc,PTMono.ttc,PT Mono,PT Mono Bold,PTMono-Bold
/System/Library/Fonts/Supplemental/PTSans.ttc,PTSans.ttc,PT Sans,PT Sans,PTSans-Regular
